t	amplitude xerr yerr
14.87	-0.164 0.0008 0.008
14.91	-0.148 0.0008 0.008
14.94	-0.130 0.0008 0.008
14.97	-0.110 0.0008 0.008
15.01	-9.018E-2 0.0008 0.008
15.04	-6.932E-2 0.0008 0.008
15.07	-4.848E-2 0.0008 0.008
15.11	-2.710E-2 0.0008 0.008
15.14	-5.513E-3 0.0008 0.008
15.17	1.603E-2 0.0008 0.008
15.21	3.729E-2 0.0008 0.008
15.24	5.839E-2 0.0008 0.008
15.27	7.891E-2 0.0008 0.008
15.31	9.892E-2 0.0008 0.008
15.34	0.118 0.0008 0.008
15.37	0.136 0.0008 0.008
15.41	0.153 0.0008 0.008
15.44	0.169 0.0008 0.008
15.47	0.184 0.0008 0.008
15.51	0.197 0.0008 0.008
15.54	0.209 0.0008 0.008
15.57	0.219 0.0008 0.008
15.61	0.227 0.0008 0.008
15.64	0.234 0.0008 0.008
15.67	0.240 0.0008 0.008
15.71	0.243 0.0008 0.008
15.74	0.245 0.0008 0.008
15.77	0.245 0.0008 0.008
15.81	0.243 0.0008 0.008
15.84	0.239 0.0008 0.008
15.87	0.234 0.0008 0.008
15.91	0.226 0.0008 0.008
15.94	0.218 0.0008 0.008
15.97	0.207 0.0008 0.008
16.01	0.196 0.0008 0.008
16.04	0.183 0.0008 0.008
16.07	0.168 0.0008 0.008
16.11	0.152 0.0008 0.008
16.14	0.135 0.0008 0.008
16.17	0.117 0.0008 0.008
16.21	9.782E-2 0.0008 0.008
16.24	7.816E-2 0.0008 0.008
16.27	5.763E-2 0.0008 0.008
16.31	3.638E-2 0.0008 0.008
16.34	1.517E-2 0.0008 0.008
16.37	-5.917E-3 0.0008 0.008
16.41	-2.711E-2 0.0008 0.008
16.44	-4.804E-2 0.0008 0.008
16.47	-6.886E-2 0.0008 0.008
16.51	-8.914E-2 0.0008 0.008
16.54	-0.109 0.0008 0.008
16.57	-0.128 0.0008 0.008
16.61	-0.145 0.0008 0.008
16.64	-0.162 0.0008 0.008
16.67	-0.178 0.0008 0.008
16.71	-0.193 0.0008 0.008
16.74	-0.205 0.0008 0.008
16.77	-0.216 0.0008 0.008
16.81	-0.226 0.0008 0.008
16.84	-0.234 0.0008 0.008
16.87	-0.240 0.0008 0.008
16.91	-0.244 0.0008 0.008
16.94	-0.246 0.0008 0.008
16.97	-0.247 0.0008 0.008
17.01	-0.246 0.0008 0.008
17.04	-0.242 0.0008 0.008
17.07	-0.237 0.0008 0.008
17.11	-0.230 0.0008 0.008
17.14	-0.222 0.0008 0.008
17.17	-0.211 0.0008 0.008
17.21	-0.199 0.0008 0.008
17.24	-0.186 0.0008 0.008
17.27	-0.172 0.0008 0.008
17.31	-0.156 0.0008 0.008
17.34	-0.139 0.0008 0.008
17.37	-0.120 0.0008 0.008
17.41	-0.102 0.0008 0.008
17.44	-8.141E-2 0.0008 0.008
17.47	-6.145E-2 0.0008 0.008
17.51	-4.058E-2 0.0008 0.008
17.54	-1.943E-2 0.0008 0.008
17.57	1.032E-3 0.0008 0.008
17.61	2.192E-2 0.0008 0.008
17.64	4.280E-2 0.0008 0.008
17.67	6.302E-2 0.0008 0.008
17.71	8.292E-2 0.0008 0.008
17.74	0.102 0.0008 0.008
17.77	0.121 0.0008 0.008
17.81	0.139 0.0008 0.008
17.84	0.155 0.0008 0.008
17.87	0.170 0.0008 0.008
17.91	0.184 0.0008 0.008
17.94	0.196 0.0008 0.008
17.97	0.208 0.0008 0.008
18.01	0.217 0.0008 0.008
18.04	0.225 0.0008 0.008
18.07	0.231 0.0008 0.008
18.11	0.236 0.0008 0.008
18.14	0.239 0.0008 0.008
18.17	0.240 0.0008 0.008
18.21	0.239 0.0008 0.008
18.24	0.237 0.0008 0.008
18.27	0.233 0.0008 0.008
18.31	0.227 0.0008 0.008
18.34	0.220 0.0008 0.008
18.37	0.210 0.0008 0.008
18.41	0.199 0.0008 0.008
18.44	0.187 0.0008 0.008
18.47	0.174 0.0008 0.008
18.51	0.159 0.0008 0.008
18.54	0.143 0.0008 0.008
18.57	0.126 0.0008 0.008
18.61	0.108 0.0008 0.008
18.64	8.862E-2 0.0008 0.008
18.67	6.905E-2 0.0008 0.008
18.71	4.863E-2 0.0008 0.008
18.74	2.809E-2 0.0008 0.008
18.77	7.512E-3 0.0008 0.008
18.81	-1.331E-2 0.0008 0.008
18.84	-3.409E-2 0.0008 0.008
18.87	-5.461E-2 0.0008 0.008
18.91	-7.491E-2 0.0008 0.008
18.94	-9.431E-2 0.0008 0.008
18.97	-0.114 0.0008 0.008
19.01	-0.131 0.0008 0.008
19.04	-0.149 0.0008 0.008
19.07	-0.165 0.0008 0.008
19.11	-0.180 0.0008 0.008
19.14	-0.194 0.0008 0.008
19.18	-0.205 0.0008 0.008
19.21	-0.215 0.0008 0.008
19.24	-0.224 0.0008 0.008
19.27	-0.231 0.0008 0.008
19.31	-0.237 0.0008 0.008
19.34	-0.239 0.0008 0.008
19.38	-0.241 0.0008 0.008
19.41	-0.241 0.0008 0.008
19.44	-0.239 0.0008 0.008
19.48	-0.236 0.0008 0.008
19.51	-0.230 0.0008 0.008
19.54	-0.223 0.0008 0.008
19.58	-0.213 0.0008 0.008
19.61	-0.203 0.0008 0.008
19.64	-0.191 0.0008 0.008
19.68	-0.177 0.0008 0.008
19.71	-0.162 0.0008 0.008
19.74	-0.146 0.0008 0.008
19.77	-0.129 0.0008 0.008
19.81	-0.111 0.0008 0.008
19.84	-9.268E-2 0.0008 0.008
19.88	-7.279E-2 0.0008 0.008
19.91	-5.285E-2 0.0008 0.008
19.94	-3.255E-2 0.0008 0.008
19.98	-1.184E-2 0.0008 0.008
20.01	8.655E-3 0.0008 0.008
20.04	2.896E-2 0.0008 0.008
20.08	4.926E-2 0.0008 0.008
20.11	6.910E-2 0.0008 0.008
20.14	8.831E-2 0.0008 0.008
20.18	0.107 0.0008 0.008
20.21	0.125 0.0008 0.008
20.24	0.142 0.0008 0.008
20.27	0.158 0.0008 0.008
20.31	0.172 0.0008 0.008
20.34	0.186 0.0008 0.008
20.38	0.197 0.0008 0.008
20.41	0.208 0.0008 0.008
20.44	0.216 0.0008 0.008
20.48	0.224 0.0008 0.008
20.51	0.229 0.0008 0.008
20.54	0.233 0.0008 0.008
20.58	0.235 0.0008 0.008
20.61	0.236 0.0008 0.008
20.64	0.234 0.0008 0.008
20.68	0.232 0.0008 0.008
20.71	0.227 0.0008 0.008
20.74	0.221 0.0008 0.008
20.78	0.213 0.0008 0.008
20.81	0.204 0.0008 0.008
20.84	0.193 0.0008 0.008
20.88	0.181 0.0008 0.008
20.91	0.167 0.0008 0.008
20.94	0.151 0.0008 0.008
20.98	0.135 0.0008 0.008
21.01	0.118 0.0008 0.008
21.04	9.927E-2 0.0008 0.008
21.08	8.052E-2 0.0008 0.008
21.11	6.126E-2 0.0008 0.008
21.14	4.109E-2 0.0008 0.008
21.18	2.060E-2 0.0008 0.008
21.21	2.317E-6 0.0008 0.008
21.24	-2.048E-2 0.0008 0.008
21.28	-4.051E-2 0.0008 0.008
21.31	-6.051E-2 0.0008 0.008
21.34	-8.010E-2 0.0008 0.008
21.38	-9.923E-2 0.0008 0.008
21.41	-0.117 0.0008 0.008
21.44	-0.135 0.0008 0.008
21.48	-0.151 0.0008 0.008
21.51	-0.167 0.0008 0.008
21.54	-0.181 0.0008 0.008
21.58	-0.193 0.0008 0.008
21.61	-0.204 0.0008 0.008
21.64	-0.215 0.0008 0.008
21.68	-0.223 0.0008 0.008
21.71	-0.229 0.0008 0.008
21.74	-0.234 0.0008 0.008
21.78	-0.237 0.0008 0.008
21.81	-0.238 0.0008 0.008
21.84	-0.237 0.0008 0.008
21.87	-0.235 0.0008 0.008
21.91	-0.230 0.0008 0.008
21.94	-0.224 0.0008 0.008
21.98	-0.216 0.0008 0.008
22.01	-0.207 0.0008 0.008
22.04	-0.196 0.0008 0.008
22.08	-0.184 0.0008 0.008
22.11	-0.170 0.0008 0.008
22.14	-0.155 0.0008 0.008
22.18	-0.139 0.0008 0.008
22.21	-0.121 0.0008 0.008
22.24	-0.104 0.0008 0.008
22.28	-8.463E-2 0.0008 0.008
22.31	-6.583E-2 0.0008 0.008
22.34	-4.562E-2 0.0008 0.008
22.37	-2.553E-2 0.0008 0.008
22.41	-5.177E-3 0.0008 0.008
22.44	1.497E-2 0.0008 0.008
22.48	3.563E-2 0.0008 0.008
22.51	5.547E-2 0.0008 0.008
22.54	7.454E-2 0.0008 0.008
22.58	9.324E-2 0.0008 0.008
22.61	0.112 0.0008 0.008
22.64	0.129 0.0008 0.008
22.68	0.145 0.0008 0.008
22.71	0.160 0.0008 0.008
22.74	0.174 0.0008 0.008
22.78	0.186 0.0008 0.008
22.81	0.197 0.0008 0.008
22.84	0.207 0.0008 0.008
22.87	0.215 0.0008 0.008
22.91	0.222 0.0008 0.008
22.94	0.227 0.0008 0.008
22.98	0.230 0.0008 0.008
23.01	0.231 0.0008 0.008
23.04	0.231 0.0008 0.008
23.08	0.229 0.0008 0.008
23.11	0.226 0.0008 0.008
23.14	0.221 0.0008 0.008
23.18	0.214 0.0008 0.008
23.21	0.205 0.0008 0.008
23.24	0.195 0.0008 0.008
23.28	0.184 0.0008 0.008
23.31	0.171 0.0008 0.008
23.34	0.157 0.0008 0.008
23.38	0.142 0.0008 0.008
23.41	0.126 0.0008 0.008
23.44	0.108 0.0008 0.008
23.48	9.089E-2 0.0008 0.008
23.51	7.218E-2 0.0008 0.008
23.54	5.244E-2 0.0008 0.008
23.58	3.258E-2 0.0008 0.008
23.61	1.292E-2 0.0008 0.008
23.64	-6.843E-3 0.0008 0.008
23.68	-2.692E-2 0.0008 0.008
23.71	-4.679E-2 0.0008 0.008
23.74	-6.659E-2 0.0008 0.008
23.78	-8.558E-2 0.0008 0.008
23.81	-0.104 0.0008 0.008
23.84	-0.122 0.0008 0.008
23.88	-0.139 0.0008 0.008
23.91	-0.154 0.0008 0.008
23.94	-0.169 0.0008 0.008
23.98	-0.182 0.0008 0.008
24.01	-0.194 0.0008 0.008
24.04	-0.204 0.0008 0.008
24.08	-0.213 0.0008 0.008
24.11	-0.221 0.0008 0.008
24.14	-0.226 0.0008 0.008
24.18	-0.230 0.0008 0.008
24.21	-0.232 0.0008 0.008
24.24	-0.233 0.0008 0.008
24.28	-0.231 0.0008 0.008
24.31	-0.228 0.0008 0.008
24.34	-0.223 0.0008 0.008
24.38	-0.217 0.0008 0.008
24.41	-0.209 0.0008 0.008
24.44	-0.199 0.0008 0.008
24.48	-0.188 0.0008 0.008
24.51	-0.175 0.0008 0.008
24.54	-0.161 0.0008 0.008
24.58	-0.146 0.0008 0.008
24.61	-0.130 0.0008 0.008
24.64	-0.113 0.0008 0.008
24.68	-9.502E-2 0.0008 0.008
24.71	-7.609E-2 0.0008 0.008
24.74	-5.698E-2 0.0008 0.008
