t	amplitude xerr yerr
75.67	2.301E-3 0.0008 0.008
75.70	1.676E-2 0.0008 0.008
75.73	3.095E-2 0.0008 0.008
75.77	4.475E-2 0.0008 0.008
75.80	5.837E-2 0.0008 0.008
75.83	7.150E-2 0.0008 0.008
75.86	8.400E-2 0.0008 0.008
75.90	9.635E-2 0.0008 0.008
75.93	0.108 0.0008 0.008
75.97	0.118 0.0008 0.008
76.00	0.128 0.0008 0.008
76.03	0.136 0.0008 0.008
76.07	0.144 0.0008 0.008
76.10	0.150 0.0008 0.008
76.13	0.156 0.0008 0.008
76.17	0.160 0.0008 0.008
76.20	0.163 0.0008 0.008
76.23	0.165 0.0008 0.008
76.27	0.166 0.0008 0.008
76.30	0.165 0.0008 0.008
76.33	0.163 0.0008 0.008
76.36	0.160 0.0008 0.008
76.40	0.156 0.0008 0.008
76.43	0.151 0.0008 0.008
76.47	0.145 0.0008 0.008
76.50	0.137 0.0008 0.008
76.53	0.129 0.0008 0.008
76.57	0.119 0.0008 0.008
76.60	0.109 0.0008 0.008
76.63	9.778E-2 0.0008 0.008
76.67	8.566E-2 0.0008 0.008
76.70	7.305E-2 0.0008 0.008
76.73	5.985E-2 0.0008 0.008
76.77	4.618E-2 0.0008 0.008
76.80	3.269E-2 0.0008 0.008
76.83	1.820E-2 0.0008 0.008
76.86	3.805E-3 0.0008 0.008
76.90	-1.030E-2 0.0008 0.008
76.93	-2.484E-2 0.0008 0.008
76.97	-3.860E-2 0.0008 0.008
77.00	-5.215E-2 0.0008 0.008
77.03	-6.568E-2 0.0008 0.008
77.07	-7.865E-2 0.0008 0.008
77.10	-9.070E-2 0.0008 0.008
77.13	-0.102 0.0008 0.008
77.17	-0.113 0.0008 0.008
77.20	-0.123 0.0008 0.008
77.23	-0.132 0.0008 0.008
77.27	-0.140 0.0008 0.008
77.30	-0.147 0.0008 0.008
77.33	-0.152 0.0008 0.008
77.36	-0.157 0.0008 0.008
77.40	-0.161 0.0008 0.008
77.43	-0.163 0.0008 0.008
77.47	-0.164 0.0008 0.008
77.50	-0.164 0.0008 0.008
77.53	-0.162 0.0008 0.008
77.57	-0.160 0.0008 0.008
77.60	-0.156 0.0008 0.008
77.63	-0.151 0.0008 0.008
77.67	-0.144 0.0008 0.008
77.70	-0.137 0.0008 0.008
77.73	-0.128 0.0008 0.008
77.77	-0.119 0.0008 0.008
77.80	-0.109 0.0008 0.008
77.83	-9.858E-2 0.0008 0.008
77.86	-8.628E-2 0.0008 0.008
77.90	-7.426E-2 0.0008 0.008
77.93	-6.106E-2 0.0008 0.008
77.97	-4.785E-2 0.0008 0.008
78.00	-3.417E-2 0.0008 0.008
78.03	-1.967E-2 0.0008 0.008
78.07	-5.746E-3 0.0008 0.008
78.10	8.227E-3 0.0008 0.008
78.13	2.280E-2 0.0008 0.008
78.17	3.652E-2 0.0008 0.008
78.20	5.001E-2 0.0008 0.008
78.23	6.346E-2 0.0008 0.008
78.27	7.660E-2 0.0008 0.008
78.30	8.887E-2 0.0008 0.008
78.33	0.100 0.0008 0.008
78.36	0.111 0.0008 0.008
78.40	0.121 0.0008 0.008
78.43	0.130 0.0008 0.008
78.47	0.138 0.0008 0.008
78.50	0.144 0.0008 0.008
78.53	0.150 0.0008 0.008
78.57	0.155 0.0008 0.008
78.60	0.159 0.0008 0.008
78.63	0.161 0.0008 0.008
78.67	0.163 0.0008 0.008
78.70	0.163 0.0008 0.008
78.73	0.162 0.0008 0.008
78.77	0.160 0.0008 0.008
78.80	0.156 0.0008 0.008
78.83	0.151 0.0008 0.008
78.87	0.145 0.0008 0.008
78.90	0.138 0.0008 0.008
78.93	0.130 0.0008 0.008
78.97	0.121 0.0008 0.008
79.00	0.111 0.0008 0.008
79.03	0.101 0.0008 0.008
79.07	8.939E-2 0.0008 0.008
79.10	7.747E-2 0.0008 0.008
79.13	6.505E-2 0.0008 0.008
79.17	5.226E-2 0.0008 0.008
79.20	3.877E-2 0.0008 0.008
79.23	2.514E-2 0.0008 0.008
79.27	1.064E-2 0.0008 0.008
79.30	-3.022E-3 0.0008 0.008
79.33	-1.705E-2 0.0008 0.008
79.37	-3.095E-2 0.0008 0.008
79.40	-4.456E-2 0.0008 0.008
79.43	-5.747E-2 0.0008 0.008
79.47	-7.044E-2 0.0008 0.008
79.50	-8.271E-2 0.0008 0.008
79.53	-9.463E-2 0.0008 0.008
79.57	-0.106 0.0008 0.008
79.60	-0.116 0.0008 0.008
79.63	-0.125 0.0008 0.008
79.67	-0.134 0.0008 0.008
79.70	-0.141 0.0008 0.008
79.73	-0.147 0.0008 0.008
79.77	-0.153 0.0008 0.008
79.80	-0.157 0.0008 0.008
79.83	-0.160 0.0008 0.008
79.87	-0.161 0.0008 0.008
79.90	-0.162 0.0008 0.008
79.93	-0.161 0.0008 0.008
79.97	-0.159 0.0008 0.008
80.00	-0.156 0.0008 0.008
80.03	-0.151 0.0008 0.008
80.07	-0.146 0.0008 0.008
80.10	-0.139 0.0008 0.008
80.13	-0.131 0.0008 0.008
80.17	-0.123 0.0008 0.008
80.20	-0.113 0.0008 0.008
80.23	-0.103 0.0008 0.008
80.27	-9.164E-2 0.0008 0.008
80.30	-7.961E-2 0.0008 0.008
80.33	-6.726E-2 0.0008 0.008
80.37	-5.422E-2 0.0008 0.008
80.40	-4.141E-2 0.0008 0.008
80.43	-2.787E-2 0.0008 0.008
80.47	-1.378E-2 0.0008 0.008
80.50	1.587E-4 0.0008 0.008
80.53	1.451E-2 0.0008 0.008
80.57	2.837E-2 0.0008 0.008
80.60	4.194E-2 0.0008 0.008
80.63	5.478E-2 0.0008 0.008
80.67	6.767E-2 0.0008 0.008
80.70	7.986E-2 0.0008 0.008
80.73	9.177E-2 0.0008 0.008
80.77	0.103 0.0008 0.008
80.80	0.112 0.0008 0.008
80.83	0.122 0.0008 0.008
80.87	0.130 0.0008 0.008
80.90	0.137 0.0008 0.008
80.93	0.144 0.0008 0.008
80.97	0.150 0.0008 0.008
81.00	0.154 0.0008 0.008
81.03	0.156 0.0008 0.008
81.07	0.159 0.0008 0.008
81.10	0.159 0.0008 0.008
81.13	0.159 0.0008 0.008
81.17	0.157 0.0008 0.008
81.20	0.154 0.0008 0.008
81.23	0.150 0.0008 0.008
81.27	0.145 0.0008 0.008
81.30	0.139 0.0008 0.008
81.33	0.132 0.0008 0.008
81.37	0.124 0.0008 0.008
81.40	0.114 0.0008 0.008
81.43	0.105 0.0008 0.008
81.47	9.384E-2 0.0008 0.008
81.50	8.252E-2 0.0008 0.008
81.53	7.055E-2 0.0008 0.008
81.57	5.781E-2 0.0008 0.008
81.60	4.463E-2 0.0008 0.008
81.63	3.114E-2 0.0008 0.008
81.67	1.743E-2 0.0008 0.008
81.70	3.857E-3 0.0008 0.008
81.73	-9.754E-3 0.0008 0.008
81.77	-2.338E-2 0.0008 0.008
81.80	-3.706E-2 0.0008 0.008
81.83	-5.041E-2 0.0008 0.008
81.87	-6.352E-2 0.0008 0.008
81.90	-7.628E-2 0.0008 0.008
81.93	-8.835E-2 0.0008 0.008
81.97	-0.100 0.0008 0.008
82.00	-0.111 0.0008 0.008
82.03	-0.120 0.0008 0.008
82.07	-0.129 0.0008 0.008
82.10	-0.136 0.0008 0.008
82.13	-0.143 0.0008 0.008
82.17	-0.149 0.0008 0.008
82.20	-0.153 0.0008 0.008
82.23	-0.157 0.0008 0.008
82.27	-0.159 0.0008 0.008
82.30	-0.160 0.0008 0.008
82.33	-0.160 0.0008 0.008
82.37	-0.158 0.0008 0.008
82.40	-0.156 0.0008 0.008
82.43	-0.152 0.0008 0.008
82.47	-0.147 0.0008 0.008
82.50	-0.141 0.0008 0.008
82.53	-0.134 0.0008 0.008
82.57	-0.126 0.0008 0.008
82.60	-0.117 0.0008 0.008
82.64	-0.107 0.0008 0.008
82.67	-9.603E-2 0.0008 0.008
82.70	-8.494E-2 0.0008 0.008
82.74	-7.262E-2 0.0008 0.008
82.77	-5.995E-2 0.0008 0.008
82.80	-4.684E-2 0.0008 0.008
82.84	-3.400E-2 0.0008 0.008
82.87	-2.016E-2 0.0008 0.008
82.90	-6.576E-3 0.0008 0.008
82.94	7.054E-3 0.0008 0.008
82.97	2.072E-2 0.0008 0.008
83.00	3.413E-2 0.0008 0.008
83.04	4.768E-2 0.0008 0.008
83.07	6.053E-2 0.0008 0.008
83.10	7.299E-2 0.0008 0.008
83.14	8.473E-2 0.0008 0.008
83.17	9.626E-2 0.0008 0.008
83.20	0.107 0.0008 0.008
83.24	0.117 0.0008 0.008
83.27	0.126 0.0008 0.008
83.30	0.133 0.0008 0.008
83.34	0.140 0.0008 0.008
83.37	0.146 0.0008 0.008
83.40	0.150 0.0008 0.008
83.44	0.154 0.0008 0.008
83.47	0.157 0.0008 0.008
83.50	0.158 0.0008 0.008
83.54	0.158 0.0008 0.008
83.57	0.157 0.0008 0.008
83.60	0.155 0.0008 0.008
83.64	0.152 0.0008 0.008
83.67	0.147 0.0008 0.008
83.70	0.142 0.0008 0.008
83.74	0.135 0.0008 0.008
83.77	0.127 0.0008 0.008
83.80	0.119 0.0008 0.008
83.84	0.110 0.0008 0.008
83.87	9.963E-2 0.0008 0.008
83.90	8.799E-2 0.0008 0.008
83.94	7.588E-2 0.0008 0.008
83.97	6.364E-2 0.0008 0.008
84.00	5.067E-2 0.0008 0.008
84.04	3.796E-2 0.0008 0.008
84.07	2.431E-2 0.0008 0.008
84.10	1.072E-2 0.0008 0.008
84.14	-3.074E-3 0.0008 0.008
84.17	-1.638E-2 0.0008 0.008
84.20	-3.005E-2 0.0008 0.008
84.24	-4.314E-2 0.0008 0.008
84.27	-5.608E-2 0.0008 0.008
84.30	-6.870E-2 0.0008 0.008
84.34	-8.108E-2 0.0008 0.008
84.37	-9.214E-2 0.0008 0.008
84.40	-0.103 0.0008 0.008
84.44	-0.114 0.0008 0.008
84.47	-0.122 0.0008 0.008
84.50	-0.130 0.0008 0.008
84.54	-0.138 0.0008 0.008
84.57	-0.144 0.0008 0.008
84.60	-0.149 0.0008 0.008
84.64	-0.153 0.0008 0.008
84.67	-0.156 0.0008 0.008
84.70	-0.158 0.0008 0.008
84.74	-0.158 0.0008 0.008
84.77	-0.157 0.0008 0.008
84.80	-0.155 0.0008 0.008
84.84	-0.152 0.0008 0.008
84.87	-0.147 0.0008 0.008
84.90	-0.142 0.0008 0.008
84.94	-0.135 0.0008 0.008
84.97	-0.128 0.0008 0.008
85.00	-0.119 0.0008 0.008
85.04	-0.110 0.0008 0.008
85.07	-0.100 0.0008 0.008
85.10	-8.918E-2 0.0008 0.008
85.14	-7.772E-2 0.0008 0.008
85.17	-6.547E-2 0.0008 0.008
85.20	-5.315E-2 0.0008 0.008
85.24	-4.002E-2 0.0008 0.008
85.27	-2.663E-2 0.0008 0.008
85.30	-1.298E-2 0.0008 0.008
85.34	6.739E-4 0.0008 0.008
85.37	1.451E-2 0.0008 0.008
85.40	2.792E-2 0.0008 0.008
85.44	4.112E-2 0.0008 0.008
85.47	5.397E-2 0.0008 0.008
85.50	6.614E-2 0.0008 0.008
85.54	7.797E-2 0.0008 0.008
85.57	8.946E-2 0.0008 0.008
85.60	0.100 0.0008 0.008
85.64	0.110 0.0008 0.008
85.67	0.119 0.0008 0.008
85.70	0.128 0.0008 0.008
85.74	0.135 0.0008 0.008
85.77	0.141 0.0008 0.008
85.80	0.147 0.0008 0.008
85.84	0.151 0.0008 0.008
85.87	0.153 0.0008 0.008
85.90	0.155 0.0008 0.008
85.94	0.156 0.0008 0.008
85.97	0.155 0.0008 0.008
86.00	0.154 0.0008 0.008
86.04	0.151 0.0008 0.008
86.07	0.147 0.0008 0.008
86.10	0.142 0.0008 0.008
86.14	0.136 0.0008 0.008
86.17	0.129 0.0008 0.008
86.20	0.121 0.0008 0.008
86.24	0.112 0.0008 0.008
86.27	0.102 0.0008 0.008
86.30	9.159E-2 0.0008 0.008
86.34	8.030E-2 0.0008 0.008
86.37	6.883E-2 0.0008 0.008
86.40	5.682E-2 0.0008 0.008
86.44	4.389E-2 0.0008 0.008
86.47	3.111E-2 0.0008 0.008
86.50	1.769E-2 0.0008 0.008
86.54	4.032E-3 0.0008 0.008
86.57	-9.711E-3 0.0008 0.008
86.60	-2.315E-2 0.0008 0.008
86.64	-3.684E-2 0.0008 0.008
86.67	-4.974E-2 0.0008 0.008
86.70	-6.209E-2 0.0008 0.008
86.74	-7.429E-2 0.0008 0.008
86.77	-8.547E-2 0.0008 0.008
86.80	-9.626E-2 0.0008 0.008
86.84	-0.107 0.0008 0.008
86.87	-0.116 0.0008 0.008
86.90	-0.124 0.0008 0.008
86.94	-0.132 0.0008 0.008
86.97	-0.139 0.0008 0.008
87.00	-0.144 0.0008 0.008
87.04	-0.149 0.0008 0.008
87.07	-0.152 0.0008 0.008
87.10	-0.154 0.0008 0.008
87.14	-0.155 0.0008 0.008
87.17	-0.155 0.0008 0.008
87.20	-0.154 0.0008 0.008
87.24	-0.151 0.0008 0.008
87.27	-0.147 0.0008 0.008
87.30	-0.143 0.0008 0.008
87.34	-0.137 0.0008 0.008
87.37	-0.130 0.0008 0.008
87.40	-0.122 0.0008 0.008
87.44	-0.114 0.0008 0.008
87.47	-0.104 0.0008 0.008
87.50	-9.375E-2 0.0008 0.008
87.54	-8.272E-2 0.0008 0.008
87.57	-7.099E-2 0.0008 0.008
87.60	-5.886E-2 0.0008 0.008
87.64	-4.625E-2 0.0008 0.008
87.67	-3.332E-2 0.0008 0.008
87.70	-1.978E-2 0.0008 0.008
87.74	-6.471E-3 0.0008 0.008
87.77	6.898E-3 0.0008 0.008
87.80	1.992E-2 0.0008 0.008
87.84	3.317E-2 0.0008 0.008
87.87	4.624E-2 0.0008 0.008
87.90	5.895E-2 0.0008 0.008
87.94	7.120E-2 0.0008 0.008
87.97	8.272E-2 0.0008 0.008
88.00	9.395E-2 0.0008 0.008
88.04	0.104 0.0008 0.008
88.07	0.113 0.0008 0.008
88.10	0.122 0.0008 0.008
88.14	0.129 0.0008 0.008
88.17	0.136 0.0008 0.008
88.20	0.142 0.0008 0.008
88.24	0.147 0.0008 0.008
88.27	0.150 0.0008 0.008
88.30	0.153 0.0008 0.008
88.34	0.154 0.0008 0.008
88.37	0.154 0.0008 0.008
88.40	0.153 0.0008 0.008
88.44	0.151 0.0008 0.008
88.47	0.148 0.0008 0.008
88.50	0.144 0.0008 0.008
88.54	0.138 0.0008 0.008
88.57	0.132 0.0008 0.008
88.60	0.125 0.0008 0.008
88.64	0.116 0.0008 0.008
88.67	0.107 0.0008 0.008
88.70	9.696E-2 0.0008 0.008
88.74	8.636E-2 0.0008 0.008
88.77	7.504E-2 0.0008 0.008
88.80	6.300E-2 0.0008 0.008
88.84	5.085E-2 0.0008 0.008
88.87	3.797E-2 0.0008 0.008
88.90	2.496E-2 0.0008 0.008
88.94	1.155E-2 0.0008 0.008
88.97	-2.057E-3 0.0008 0.008
89.00	-1.565E-2 0.0008 0.008
89.04	-2.863E-2 0.0008 0.008
89.07	-4.161E-2 0.0008 0.008
89.10	-5.449E-2 0.0008 0.008
89.14	-6.674E-2 0.0008 0.008
89.17	-7.848E-2 0.0008 0.008
89.20	-8.992E-2 0.0008 0.008
89.24	-0.101 0.0008 0.008
89.27	-0.110 0.0008 0.008
89.30	-0.119 0.0008 0.008
89.34	-0.127 0.0008 0.008
89.37	-0.134 0.0008 0.008
89.40	-0.140 0.0008 0.008
89.44	-0.145 0.0008 0.008
89.47	-0.149 0.0008 0.008
89.50	-0.152 0.0008 0.008
89.54	-0.153 0.0008 0.008
89.57	-0.153 0.0008 0.008
89.60	-0.153 0.0008 0.008
89.64	-0.151 0.0008 0.008
89.67	-0.148 0.0008 0.008
89.70	-0.144 0.0008 0.008
89.74	-0.139 0.0008 0.008
89.77	-0.133 0.0008 0.008
89.80	-0.125 0.0008 0.008
89.84	-0.117 0.0008 0.008
89.87	-0.108 0.0008 0.008
89.90	-9.759E-2 0.0008 0.008
89.94	-8.730E-2 0.0008 0.008
89.97	-7.572E-2 0.0008 0.008
90.00	-6.384E-2 0.0008 0.008
90.04	-5.132E-2 0.0008 0.008
90.07	-3.870E-2 0.0008 0.008
90.10	-2.578E-2 0.0008 0.008
90.14	-1.283E-2 0.0008 0.008
90.17	8.213E-4 0.0008 0.008
90.20	1.382E-2 0.0008 0.008
90.24	2.662E-2 0.0008 0.008
90.27	3.958E-2 0.0008 0.008
90.30	5.220E-2 0.0008 0.008
90.34	6.449E-2 0.0008 0.008
90.37	7.612E-2 0.0008 0.008
90.40	8.711E-2 0.0008 0.008
90.44	9.789E-2 0.0008 0.008
90.47	0.108 0.0008 0.008
90.50	0.117 0.0008 0.008
90.54	0.125 0.0008 0.008
90.57	0.132 0.0008 0.008
90.61	0.137 0.0008 0.008
90.64	0.143 0.0008 0.008
90.67	0.147 0.0008 0.008
90.71	0.150 0.0008 0.008
90.74	0.151 0.0008 0.008
90.77	0.152 0.0008 0.008
90.81	0.152 0.0008 0.008
90.84	0.150 0.0008 0.008
90.87	0.148 0.0008 0.008
90.91	0.144 0.0008 0.008
90.94	0.140 0.0008 0.008
90.97	0.134 0.0008 0.008
91.01	0.127 0.0008 0.008
91.04	0.119 0.0008 0.008
91.07	0.110 0.0008 0.008
91.11	0.100 0.0008 0.008
91.14	9.013E-2 0.0008 0.008
91.17	7.896E-2 0.0008 0.008
91.21	6.751E-2 0.0008 0.008
91.24	5.539E-2 0.0008 0.008
91.27	4.326E-2 0.0008 0.008
91.31	3.035E-2 0.0008 0.008
91.34	1.738E-2 0.0008 0.008
91.37	3.918E-3 0.0008 0.008
91.41	-9.115E-3 0.0008 0.008
91.44	-2.257E-2 0.0008 0.008
91.47	-3.539E-2 0.0008 0.008
91.51	-4.825E-2 0.0008 0.008
91.54	-6.024E-2 0.0008 0.008
91.57	-7.236E-2 0.0008 0.008
91.61	-8.382E-2 0.0008 0.008
91.64	-9.435E-2 0.0008 0.008
91.67	-0.105 0.0008 0.008
91.71	-0.114 0.0008 0.008
91.74	-0.122 0.0008 0.008
91.77	-0.129 0.0008 0.008
91.81	-0.136 0.0008 0.008
91.84	-0.141 0.0008 0.008
91.87	-0.145 0.0008 0.008
91.91	-0.149 0.0008 0.008
91.94	-0.151 0.0008 0.008
91.97	-0.152 0.0008 0.008
92.01	-0.152 0.0008 0.008
92.04	-0.150 0.0008 0.008
92.07	-0.148 0.0008 0.008
92.11	-0.144 0.0008 0.008
92.14	-0.140 0.0008 0.008
92.17	-0.133 0.0008 0.008
92.21	-0.127 0.0008 0.008
92.24	-0.119 0.0008 0.008
92.27	-0.111 0.0008 0.008
92.31	-0.101 0.0008 0.008
92.34	-9.158E-2 0.0008 0.008
92.37	-8.100E-2 0.0008 0.008
92.41	-6.947E-2 0.0008 0.008
92.44	-5.766E-2 0.0008 0.008
92.47	-4.516E-2 0.0008 0.008
92.51	-3.240E-2 0.0008 0.008
92.54	-1.963E-2 0.0008 0.008
92.57	-6.757E-3 0.0008 0.008
92.61	6.865E-3 0.0008 0.008
92.64	1.988E-2 0.0008 0.008
92.67	3.247E-2 0.0008 0.008
92.71	4.561E-2 0.0008 0.008
92.74	5.757E-2 0.0008 0.008
92.77	6.964E-2 0.0008 0.008
92.81	8.095E-2 0.0008 0.008
92.84	9.180E-2 0.0008 0.008
92.87	0.102 0.0008 0.008
92.91	0.111 0.0008 0.008
92.94	0.119 0.0008 0.008
92.97	0.127 0.0008 0.008
93.01	0.134 0.0008 0.008
93.04	0.139 0.0008 0.008
93.07	0.144 0.0008 0.008
93.11	0.147 0.0008 0.008
93.14	0.150 0.0008 0.008
93.17	0.151 0.0008 0.008
93.21	0.150 0.0008 0.008
93.24	0.150 0.0008 0.008
93.27	0.147 0.0008 0.008
93.31	0.144 0.0008 0.008
93.34	0.140 0.0008 0.008
93.37	0.135 0.0008 0.008
93.41	0.129 0.0008 0.008
93.44	0.122 0.0008 0.008
93.47	0.113 0.0008 0.008
93.51	0.104 0.0008 0.008
93.54	9.391E-2 0.0008 0.008
93.57	8.333E-2 0.0008 0.008
93.61	7.265E-2 0.0008 0.008
93.64	6.126E-2 0.0008 0.008
93.67	4.915E-2 0.0008 0.008
93.71	3.671E-2 0.0008 0.008
93.74	2.375E-2 0.0008 0.008
93.77	1.091E-2 0.0008 0.008
93.81	-2.418E-3 0.0008 0.008
93.84	-1.502E-2 0.0008 0.008
93.87	-2.806E-2 0.0008 0.008
93.91	-4.078E-2 0.0008 0.008
93.94	-5.307E-2 0.0008 0.008
93.97	-6.497E-2 0.0008 0.008
94.01	-7.651E-2 0.0008 0.008
94.04	-8.714E-2 0.0008 0.008
94.07	-9.682E-2 0.0008 0.008
94.11	-0.107 0.0008 0.008
94.14	-0.115 0.0008 0.008
94.17	-0.123 0.0008 0.008
94.21	-0.130 0.0008 0.008
94.24	-0.136 0.0008 0.008
94.27	-0.141 0.0008 0.008
94.31	-0.145 0.0008 0.008
94.34	-0.147 0.0008 0.008
94.37	-0.149 0.0008 0.008
94.41	-0.149 0.0008 0.008
94.44	-0.149 0.0008 0.008
94.47	-0.147 0.0008 0.008
94.51	-0.144 0.0008 0.008
94.54	-0.140 0.0008 0.008
94.57	-0.135 0.0008 0.008
94.61	-0.129 0.0008 0.008
94.64	-0.122 0.0008 0.008
94.67	-0.114 0.0008 0.008
94.71	-0.105 0.0008 0.008
94.74	-9.535E-2 0.0008 0.008
94.77	-8.495E-2 0.0008 0.008
94.81	-7.418E-2 0.0008 0.008
94.84	-6.256E-2 0.0008 0.008
94.87	-5.086E-2 0.0008 0.008
94.91	-3.833E-2 0.0008 0.008
94.94	-2.546E-2 0.0008 0.008
94.97	-1.272E-2 0.0008 0.008
95.01	2.283E-4 0.0008 0.008
95.04	1.314E-2 0.0008 0.008
95.07	2.567E-2 0.0008 0.008
95.11	3.797E-2 0.0008 0.008
95.14	5.015E-2 0.0008 0.008
95.17	6.210E-2 0.0008 0.008
95.21	7.359E-2 0.0008 0.008
95.24	8.445E-2 0.0008 0.008
95.27	9.483E-2 0.0008 0.008
95.31	0.104 0.0008 0.008
95.34	0.113 0.0008 0.008
95.37	0.121 0.0008 0.008
95.41	0.128 0.0008 0.008
95.44	0.134 0.0008 0.008
95.47	0.138 0.0008 0.008
95.51	0.142 0.0008 0.008
95.54	0.145 0.0008 0.008
95.57	0.147 0.0008 0.008
95.61	0.147 0.0008 0.008
95.64	0.147 0.0008 0.008
95.67	0.146 0.0008 0.008
95.71	0.143 0.0008 0.008
95.74	0.140 0.0008 0.008
95.77	0.135 0.0008 0.008
95.81	0.129 0.0008 0.008
95.84	0.122 0.0008 0.008
95.87	0.114 0.0008 0.008
95.91	0.106 0.0008 0.008
95.94	9.703E-2 0.0008 0.008
95.97	8.701E-2 0.0008 0.008
96.01	7.645E-2 0.0008 0.008
96.04	6.518E-2 0.0008 0.008
96.07	5.359E-2 0.0008 0.008
96.11	4.175E-2 0.0008 0.008
96.14	2.944E-2 0.0008 0.008
96.17	1.674E-2 0.0008 0.008
96.21	3.865E-3 0.0008 0.008
96.24	-9.093E-3 0.0008 0.008
96.27	-2.187E-2 0.0008 0.008
96.31	-3.474E-2 0.0008 0.008
96.34	-4.659E-2 0.0008 0.008
96.37	-5.815E-2 0.0008 0.008
96.41	-7.032E-2 0.0008 0.008
96.44	-8.095E-2 0.0008 0.008
96.47	-9.150E-2 0.0008 0.008
96.51	-0.101 0.0008 0.008
96.54	-0.110 0.0008 0.008
96.57	-0.119 0.0008 0.008
96.61	-0.126 0.0008 0.008
96.64	-0.132 0.0008 0.008
96.67	-0.137 0.0008 0.008
96.71	-0.142 0.0008 0.008
96.74	-0.145 0.0008 0.008
96.77	-0.147 0.0008 0.008
96.81	-0.148 0.0008 0.008
96.84	-0.148 0.0008 0.008
96.87	-0.147 0.0008 0.008
96.91	-0.144 0.0008 0.008
96.94	-0.140 0.0008 0.008
96.97	-0.136 0.0008 0.008
97.01	-0.130 0.0008 0.008
97.04	-0.124 0.0008 0.008
97.07	-0.117 0.0008 0.008
97.11	-0.108 0.0008 0.008
97.14	-9.939E-2 0.0008 0.008
97.17	-8.919E-2 0.0008 0.008
97.21	-7.867E-2 0.0008 0.008
97.24	-6.750E-2 0.0008 0.008
97.27	-5.581E-2 0.0008 0.008
97.31	-4.384E-2 0.0008 0.008
97.34	-3.156E-2 0.0008 0.008
97.37	-1.898E-2 0.0008 0.008
97.41	-5.976E-3 0.0008 0.008
97.44	6.816E-3 0.0008 0.008
97.47	1.967E-2 0.0008 0.008
97.51	3.215E-2 0.0008 0.008
97.54	4.404E-2 0.0008 0.008
97.57	5.623E-2 0.0008 0.008
97.61	6.783E-2 0.0008 0.008
97.64	7.818E-2 0.0008 0.008
97.67	8.874E-2 0.0008 0.008
97.71	9.864E-2 0.0008 0.008
97.74	0.108 0.0008 0.008
97.77	0.116 0.0008 0.008
97.81	0.124 0.0008 0.008
97.84	0.130 0.0008 0.008
97.87	0.135 0.0008 0.008
97.91	0.140 0.0008 0.008
97.94	0.143 0.0008 0.008
97.97	0.145 0.0008 0.008
98.01	0.146 0.0008 0.008
98.04	0.147 0.0008 0.008
98.07	0.146 0.0008 0.008
98.11	0.144 0.0008 0.008
98.14	0.140 0.0008 0.008
98.17	0.136 0.0008 0.008
98.21	0.131 0.0008 0.008
98.24	0.125 0.0008 0.008
98.27	0.118 0.0008 0.008
98.31	0.110 0.0008 0.008
98.34	0.102 0.0008 0.008
98.37	9.186E-2 0.0008 0.008
98.41	8.118E-2 0.0008 0.008
98.44	7.050E-2 0.0008 0.008
98.47	5.900E-2 0.0008 0.008
98.51	4.755E-2 0.0008 0.008
98.54	3.562E-2 0.0008 0.008
98.58	2.349E-2 0.0008 0.008
98.61	1.094E-2 0.0008 0.008
98.64	-2.081E-3 0.0008 0.008
98.68	-1.495E-2 0.0008 0.008
98.71	-2.727E-2 0.0008 0.008
98.74	-3.937E-2 0.0008 0.008
98.78	-5.116E-2 0.0008 0.008
98.81	-6.273E-2 0.0008 0.008
98.84	-7.395E-2 0.0008 0.008
98.88	-8.476E-2 0.0008 0.008
98.91	-9.508E-2 0.0008 0.008
98.94	-0.104 0.0008 0.008
98.98	-0.112 0.0008 0.008
99.01	-0.120 0.0008 0.008
99.04	-0.126 0.0008 0.008
99.08	-0.133 0.0008 0.008
99.11	-0.137 0.0008 0.008
99.14	-0.141 0.0008 0.008
99.18	-0.144 0.0008 0.008
99.21	-0.145 0.0008 0.008
99.24	-0.146 0.0008 0.008
99.28	-0.146 0.0008 0.008
99.31	-0.144 0.0008 0.008
99.34	-0.140 0.0008 0.008
99.38	-0.137 0.0008 0.008
99.41	-0.132 0.0008 0.008
99.44	-0.126 0.0008 0.008
99.48	-0.119 0.0008 0.008
99.51	-0.111 0.0008 0.008
99.54	-0.103 0.0008 0.008
99.58	-9.345E-2 0.0008 0.008
99.61	-8.326E-2 0.0008 0.008
99.64	-7.246E-2 0.0008 0.008
99.68	-6.129E-2 0.0008 0.008
99.71	-4.917E-2 0.0008 0.008
99.74	-3.727E-2 0.0008 0.008
99.78	-2.468E-2 0.0008 0.008
99.81	-1.220E-2 0.0008 0.008
99.84	1.698E-4 0.0008 0.008
99.88	1.305E-2 0.0008 0.008
99.91	2.514E-2 0.0008 0.008
99.94	3.722E-2 0.0008 0.008
99.98	4.931E-2 0.0008 0.008
100.0	6.073E-2 0.0008 0.008
100.0	7.203E-2 0.0008 0.008
100.1	8.252E-2 0.0008 0.008
100.1	9.250E-2 0.0008 0.008
100.1	0.102 0.0008 0.008
100.2	0.110 0.0008 0.008
100.2	0.118 0.0008 0.008
100.2	0.124 0.0008 0.008
100.3	0.130 0.0008 0.008
100.3	0.135 0.0008 0.008
100.3	0.139 0.0008 0.008
100.4	0.142 0.0008 0.008
100.4	0.144 0.0008 0.008
