t_{1}	func 0.0008 0.008
15.740000000000002	-0.23468300935697212 0.0008 0.008
15.773333333333333	-0.25053348598088765 0.0008 0.008
15.80666666666667	-0.2617131418995145 0.0008 0.008
15.839999999999998	-0.2692175431591332 0.0008 0.008
15.873333333333333	-0.2725719919477277 0.0008 0.008
15.906666666666666	-0.27082541078992994 0.0008 0.008
15.940000000000001	-0.2659858554521785 0.0008 0.008
15.973333333333334	-0.254893175652196 0.0008 0.008
16.006666666666668	-0.24120532229675873 0.0008 0.008
16.04	-0.22309897394974884 0.0008 0.008
16.073333333333334	-0.20158681046095867 0.0008 0.008
16.10666666666667	-0.17688397251624263 0.0008 0.008
16.14	-0.1496855095121124 0.0008 0.008
16.173333333333336	-0.12123780758015738 0.0008 0.008
16.206666666666667	-0.09014288644510592 0.0008 0.008
16.240000000000002	-0.059539342315139174 0.0008 0.008
16.273333333333333	-0.026880951052161796 0.0008 0.008
16.30666666666667	0.005327389235976594 0.0008 0.008
16.34	0.03614243191303733 0.0008 0.008
16.373333333333335	0.06706973944896277 0.0008 0.008
16.406666666666663	0.0956549211236453 0.0008 0.008
16.44	0.12273211444745641 0.0008 0.008
16.473333333333336	0.14653878361412323 0.0008 0.008
16.506666666666664	0.16679971019836762 0.0008 0.008
16.54	0.18485699327226846 0.0008 0.008
16.573333333333334	0.19783372931690477 0.0008 0.008
16.606666666666673	0.20873568319280725 0.0008 0.008
16.64	0.21474536865482707 0.0008 0.008
16.673333333333336	0.2163786397969287 0.0008 0.008
16.706666666666663	0.2144310421818661 0.0008 0.008
16.74	0.20777562990119475 0.0008 0.008
16.773333333333337	0.19801615771078132 0.0008 0.008
16.806666666666672	0.18368784128468335 0.0008 0.008
16.84	0.16553163481563915 0.0008 0.008
16.873333333333335	0.1448616122442273 0.0008 0.008
16.906666666666663	0.12136744843580217 0.0008 0.008
16.94	0.09411768258611371 0.0008 0.008
16.973333333333336	0.06514501161606077 0.0008 0.008
17.006666666666664	0.034769598027782705 0.0008 0.008
17.04	0.002194790547578847 0.0008 0.008
17.073333333333334	-0.030597311506676515 0.0008 0.008
17.106666666666666	-0.0616867747981958 0.0008 0.008
17.14	-0.09441689555787378 0.0008 0.008
17.173333333333336	-0.12546406289380513 0.0008 0.008
17.206666666666663	-0.15218989998294719 0.0008 0.008
17.24	-0.17871495276031737 0.0008 0.008
17.273333333333337	-0.2038688767874982 0.0008 0.008
17.306666666666672	-0.2239779415373497 0.0008 0.008
17.34	-0.24027070995901204 0.0008 0.008
17.373333333333328	-0.2537764589641248 0.0008 0.008
17.40666666666667	-0.2639055277168189 0.0008 0.008
17.44	-0.26841500715620403 0.0008 0.008
17.473333333333336	-0.26902167084748435 0.0008 0.008
