t	func 0.0008 0.008
10.070000000000002	-0.28610347421764587 0.0008 0.008
10.103333333333333	-0.27180131563576426 0.0008 0.008
10.136666666666667	-0.2502480328141517 0.0008 0.008
10.170000000000002	-0.22785914569759905 0.0008 0.008
10.203333333333333	-0.20097319707924433 0.0008 0.008
10.23666666666667	-0.1676739728821834 0.0008 0.008
10.269999999999998	-0.1327740315493354 0.0008 0.008
10.303333333333335	-0.09668944184931853 0.0008 0.008
10.336666666666666	-0.05880791455713361 0.0008 0.008
10.370000000000001	-0.019288447200287155 0.0008 0.008
10.403333333333334	0.018557392993287833 0.0008 0.008
10.436666666666666	0.054079778872808335 0.0008 0.008
10.470000000000002	0.08977939618461472 0.0008 0.008
10.503333333333334	0.12408906171420998 0.0008 0.008
10.536666666666669	0.15341557975589773 0.0008 0.008
10.570000000000002	0.1771142830379054 0.0008 0.008
10.603333333333333	0.19753134283006812 0.0008 0.008
10.636666666666667	0.21316135725006782 0.0008 0.008
10.670000000000002	0.22506082956148768 0.0008 0.008
10.703333333333333	0.22993834710284766 0.0008 0.008
10.738333333333333	0.22972624948176348 0.0008 0.008
10.77166666666667	0.22334893559801505 0.0008 0.008
10.804999999999998	0.21180847814498577 0.0008 0.008
10.838333333333335	0.1953408566485005 0.0008 0.008
10.871666666666666	0.17429956039079397 0.0008 0.008
10.905000000000001	0.14972386236814744 0.0008 0.008
10.938333333333334	0.1198846461487578 0.0008 0.008
10.971666666666666	0.08639662566796004 0.0008 0.008
11.004999999999999	0.05206490519089915 0.0008 0.008
11.038333333333334	0.015579713788101395 0.0008 0.008
11.071666666666669	-0.022079313715143687 0.0008 0.008
11.105000000000002	-0.06051523315864716 0.0008 0.008
11.138333333333334	-0.09937337956265965 0.0008 0.008
11.171666666666667	-0.13512688543063642 0.0008 0.008
11.205000000000002	-0.16816779896095638 0.0008 0.008
11.238333333333333	-0.19808786435711187 0.0008 0.008
11.27166666666667	-0.2258865845508743 0.0008 0.008
11.304999999999998	-0.2477247168367685 0.0008 0.008
