t_{1}	amp 0.0008 0.008
9.105	-0.26828066524635386 0.0008 0.008
9.138333333333328	-0.2699469104540604 0.0008 0.008
9.171666666666665	-0.26903097081463967 0.0008 0.008
9.204999999999997	-0.2660645060709054 0.0008 0.008
9.238333333333332	-0.26099062548778224 0.0008 0.008
9.271666666666665	-0.2535335768533077 0.0008 0.008
9.304999999999996	-0.2444141893591223 0.0008 0.008
9.338333333333333	-0.23263366743427136 0.0008 0.008
9.371666666666664	-0.21942969991451203 0.0008 0.008
9.405	-0.20362732006545853 0.0008 0.008
9.438333333333333	-0.18705071216292612 0.0008 0.008
9.471666666666664	-0.16878984264969843 0.0008 0.008
9.504999999999997	-0.14932494228766363 0.0008 0.008
9.538333333333332	-0.1283881286397369 0.0008 0.008
9.571666666666664	-0.10658684487969014 0.0008 0.008
9.605	-0.08428203885989201 0.0008 0.008
9.638333333333328	-0.06116177380401665 0.0008 0.008
9.671666666666665	-0.03767273714896227 0.0008 0.008
9.704999999999997	-0.013501375404478008 0.0008 0.008
9.738333333333332	0.010083861126666363 0.0008 0.008
9.771666666666665	0.03392431263690001 0.0008 0.008
9.804999999999996	0.05710074915449277 0.0008 0.008
9.838333333333333	0.07860591307500568 0.0008 0.008
9.871666666666664	0.10053703746734288 0.0008 0.008
9.905	0.12106844914577468 0.0008 0.008
9.938333333333333	0.14042454259692502 0.0008 0.008
9.971666666666664	0.158586642423277 0.0008 0.008
10.004999999999997	0.17548619868515264 0.0008 0.008
10.038333333333332	0.1903763319117411 0.0008 0.008
10.071666666666664	0.20360298503366098 0.0008 0.008
10.105	0.2152469598910257 0.0008 0.008
10.138333333333328	0.2250010349391235 0.0008 0.008
10.171666666666665	0.23307569271946404 0.0008 0.008
10.204999999999997	0.2391871874513232 0.0008 0.008
10.238333333333332	0.24286238406929922 0.0008 0.008
10.271666666666665	0.24458631390039634 0.0008 0.008
10.304999999999996	0.2445588805001212 0.0008 0.008
10.338333333333333	0.24220701050211368 0.0008 0.008
10.371666666666664	0.23766449072414506 0.0008 0.008
10.405	0.23122425077636505 0.0008 0.008
10.438333333333333	0.22252492216750194 0.0008 0.008
10.471666666666664	0.21184339675917746 0.0008 0.008
10.504999999999997	0.19946102632643695 0.0008 0.008
10.538333333333332	0.18505686310393163 0.0008 0.008
10.571666666666664	0.1692535295577204 0.0008 0.008
10.605	0.15156082471889767 0.0008 0.008
10.638333333333328	0.1331911164559075 0.0008 0.008
10.671666666666665	0.11413936681048896 0.0008 0.008
10.704999999999997	0.0934417388529452 0.0008 0.008
10.738333333333332	0.07185596330669469 0.0008 0.008
10.771666666666665	0.049397055895065725 0.0008 0.008
10.804999999999996	0.02626453035389441 0.0008 0.008
10.838333333333333	0.0027085302080317843 0.0008 0.008
10.871666666666664	-0.02124505797966719 0.0008 0.008
10.905	-0.045777918821504865 0.0008 0.008
10.938333333333333	-0.06907533045266741 0.0008 0.008
10.971666666666664	-0.09142202566394086 0.0008 0.008
11.004999999999997	-0.11263639452500589 0.0008 0.008
11.038333333333332	-0.13340381025418355 0.0008 0.008
11.071666666666664	-0.15368251263220137 0.0008 0.008
11.105	-0.17303142473067293 0.0008 0.008
11.138333333333328	-0.1900927207893471 0.0008 0.008
11.171666666666665	-0.20644650503736117 0.0008 0.008
11.204999999999997	-0.2201712631637524 0.0008 0.008
11.238333333333332	-0.23270814323436684 0.0008 0.008
11.271666666666668	-0.2431670784142944 0.0008 0.008
11.304999999999996	-0.25159116793933484 0.0008 0.008
11.338333333333333	-0.25843687248623165 0.0008 0.008
11.371666666666664	-0.2628255946071561 0.0008 0.008
11.405	-0.265413911274238 0.0008 0.008
11.438333333333333	-0.2652826537036638 0.0008 0.008
11.471666666666664	-0.2627279202127653 0.0008 0.008
11.504999999999997	-0.2584262323105135 0.0008 0.008
11.538333333333332	-0.25205638145654535 0.0008 0.008
11.571666666666664	-0.2433217731079979 0.0008 0.008
11.605	-0.23303674869278096 0.0008 0.008
11.638333333333328	-0.22034870314424182 0.0008 0.008
11.671666666666665	-0.20628686686196318 0.0008 0.008
11.704999999999997	-0.19006006259540192 0.0008 0.008
11.738333333333332	-0.17323452364116831 0.0008 0.008
11.771666666666668	-0.1540551775911564 0.0008 0.008
11.804999999999996	-0.1339043115690996 0.0008 0.008
11.838333333333333	-0.11292630854718724 0.0008 0.008
11.871666666666664	-0.09123680685797332 0.0008 0.008
11.905	-0.06911544641097606 0.0008 0.008
11.938333333333333	-0.04653121427603901 0.0008 0.008
11.971666666666664	-0.023197188526735257 0.0008 0.008
12.004999999999997	6.835158213034916E-4 0.0008 0.008
12.038333333333332	0.024099267588453523 0.0008 0.008
12.071666666666664	0.04686646229986122 0.0008 0.008
12.105	0.0684349147328295 0.0008 0.008
12.138333333333328	0.09013415772209538 0.0008 0.008
12.171666666666665	0.11072850571625288 0.0008 0.008
12.204999999999997	0.12995843057495443 0.0008 0.008
12.238333333333332	0.14830750637891535 0.0008 0.008
12.271666666666668	0.1655863910077801 0.0008 0.008
12.304999999999996	0.18146057150190237 0.0008 0.008
12.338333333333333	0.19549743892408705 0.0008 0.008
12.371666666666664	0.20726230165362686 0.0008 0.008
12.405	0.21777424046960606 0.0008 0.008
12.438333333333333	0.2258954954506972 0.0008 0.008
12.471666666666664	0.23203424496512903 0.0008 0.008
12.506666666666668	0.23658061133684777 0.0008 0.008
12.539999999999996	0.23909995569425133 0.0008 0.008
12.573333333333332	0.2391692130237993 0.0008 0.008
12.606666666666664	0.23816418259064562 0.0008 0.008
12.64	0.23469894260087573 0.0008 0.008
12.673333333333332	0.22940522423195844 0.0008 0.008
12.706666666666663	0.2224035876521506 0.0008 0.008
12.739999999999997	0.21287771258222044 0.0008 0.008
12.773333333333332	0.20121227627431207 0.0008 0.008
12.806666666666665	0.18782580078800454 0.0008 0.008
12.84	0.17284653132574757 0.0008 0.008
12.873333333333331	0.15604337910668933 0.0008 0.008
12.906666666666665	0.13862082014172347 0.0008 0.008
12.94	0.11929127297968443 0.0008 0.008
12.973333333333333	0.09915743775017752 0.0008 0.008
13.006666666666668	0.0786093329005957 0.0008 0.008
13.039999999999996	0.056798860162568285 0.0008 0.008
13.073333333333332	0.034304380563842246 0.0008 0.008
13.106666666666664	0.012119286456924361 0.0008 0.008
13.14	-0.010895339604335499 0.0008 0.008
13.173333333333332	-0.03442851491886261 0.0008 0.008
13.206666666666663	-0.05744899464794219 0.0008 0.008
13.239999999999997	-0.08000031316573677 0.0008 0.008
13.273333333333332	-0.10180190020330164 0.0008 0.008
13.306666666666665	-0.12250395096199286 0.0008 0.008
13.34	-0.14252292787800572 0.0008 0.008
13.373333333333331	-0.16167837263468154 0.0008 0.008
13.406666666666665	-0.17908467932109215 0.0008 0.008
13.44	-0.1954925840895825 0.0008 0.008
13.473333333333333	-0.21009187146991168 0.0008 0.008
13.506666666666668	-0.22386950567658118 0.0008 0.008
13.539999999999996	-0.23481442683156353 0.0008 0.008
